Benchmark,Native Run Time,32-bits qemu Run Time,64-bits qemu Run Time,dynamorio Run Time,pin Run Time,32-bits qemu Slowdown,64-bits qemu Slowdown,dynamorio Slowdown,pin Slowdown
410.bwaves,749.577016,44685.6,21131.48,754.49709,782.538124,59.6144212618,28.1912059054,1.0065638005,1.0439729438
416.gamess,962.095436,63457.95,30912.82,1045.482207,1136.960151,65.9580615659,32.1307209693,1.0866720368,1.181754022
433.milc,491.62568,25795.42,13497.58,508.274332,512.705892,52.469635028,27.4549938075,1.0338644881,1.0428785819
434.zeusmp,613.921187,27069.72,13406.4,611.149244,627.274411,44.0931516508,21.8373307256,0.9954848553,1.0217507137
435.gromacs,612.284868,29988.82,22874.08,616.378005,616.001314,48.9785417986,37.3585584023,1.0066850207,1.0060697989
436.cactusADM,870.802899,63978.65,33926.38,890.097971,865.829892,73.4708739182,38.9598840782,1.0221577949,0.9942891704
437.leslie3d,515.177246,26552.68,12796.1,427.945618,440.035131,51.540863278,24.8382476116,0.8306764736,0.8541431797
444.namd,502.872805,49713.21,24089.48,500.70418,532.749851,98.8584180845,47.903723885,0.9956875278,1.0594127296
447.dealII,403.376868,13728.94,7696.35,466.219677,536.956006,34.0350205704,19.0798000841,1.1557918016,1.3311522018
450.soplex,286.729532,0,2812.31,308.999617,319.269222,0,9.8082327983,1.0776693103,1.1134856594
453.povray,243.551521,11898.85,7056.31,354.549821,384.082289,48.85557664,28.9725556672,1.4557487448,1.5770063247
454.calculix,821.428568,146003.97,68562.55,837.675293,881.307497,177.7439642201,83.4674525223,1.0197786218,1.0728960878
459.GemsFDTD,460.872559,34976.42,16977.22,479.268549,493.18284,75.891739087,36.8371248591,1.0399155681,1.0701067581
465.tonto,573.813859,30595.41,14826.41,666.221834,738.264328,53.3193988262,25.838361635,1.1610417273,1.2865920131
470.lbm,410.987476,39655,19001.83,413.998027,412.121048,96.4871250724,46.2345718778,1.0073251648,1.0027581668
481.wrf,523.053391,28949.81,21459.41,571.856908,613.2179,55.3477149716,41.0271883698,1.0933050389,1.1723810811
482.sphinx3,715.946389,58042.77,32747.87,733.875564,794.215773,81.0713915061,45.7406734682,1.0250426223,1.1093229678
